ds,y
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,0.0
1986-05-01,0.0
1986-06-01,0.0
1986-07-01,0.0
1986-08-01,0.0
1986-09-01,0.0
1986-10-01,0.0
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,0.0
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.0
1989-04-01,0.0
1989-05-01,0.0
1989-06-01,0.0
1989-07-01,0.0
1989-08-01,0.0
1989-09-01,0.0
1989-10-01,0.0
1989-11-01,0.0
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.0
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,0.0
1990-06-01,0.0
1990-07-01,0.0
1990-08-01,0.0
1990-09-01,0.0
1990-10-01,0.0
1990-11-01,0.0
1990-12-01,0.0
1991-01-01,0.0
1991-02-01,0.0
1991-03-01,0.0
1991-04-01,0.0
1991-05-01,0.0
1991-06-01,0.0
1991-07-01,0.0
1991-08-01,0.0
1991-09-01,0.0
1991-10-01,0.0
1991-11-01,0.0
1991-12-01,0.0
1992-01-01,0.0
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,0.0
1992-08-01,0.0
1992-09-01,0.0
1992-10-01,0.0
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,0.0
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,0.0
1993-12-01,0.0
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,121.003203631309
2006-11-01,483.967806600187
2006-12-01,487.056632096796
2007-01-01,488.467763515289
2007-02-01,490.855392680856
2007-03-01,491.795006651135
2007-04-01,492.322485710864
2007-05-01,494.132964085235
2007-06-01,497.617914537823
2007-07-01,498.604545779857
2007-08-01,500.184242216516
2007-09-01,501.178727132067
2007-10-01,501.441610322797
2007-11-01,501.699095675296
2007-12-01,501.855659813079
2008-01-01,502.009926107792
2008-02-01,504.314559717579
2008-03-01,505.107876305352
2008-04-01,505.697213045789
2008-05-01,506.286213999776
2008-06-01,507.676118188724
2008-07-01,508.200061863963
2008-08-01,509.087322451757
2008-09-01,509.502474512803
2008-10-01,509.532897322726
2008-11-01,509.976986650739
2008-12-01,511.754490514432
2009-01-01,512.643650525253
2009-02-01,513.619242672608
2009-03-01,514.718410351425
2009-04-01,515.268490925597
2009-05-01,515.869476363608
2009-06-01,516.844627680654
2009-07-01,516.778093857925
2009-08-01,516.178015619795
2009-09-01,516.376489854697
2009-10-01,515.909652113164
2009-11-01,515.118108091838
2009-12-01,514.714534887673
2010-01-01,515.577994277266
2010-02-01,515.933025186664
2010-03-01,516.208696217236
2010-04-01,516.447359713977
2010-05-01,517.63594836651
2010-06-01,519.824047267575
2010-07-01,521.370889557228
2010-08-01,521.220030826578
2010-09-01,521.37946555556
2010-10-01,522.393740616017
2010-11-01,522.430342017085
2010-12-01,522.531425883688
2011-01-01,522.082862884427
2011-02-01,522.353752521259
2011-03-01,527.40458423493
2011-04-01,532.832314732798
2011-05-01,534.054173593053
2011-06-01,533.980915315901
2011-07-01,533.653502171272
2011-08-01,533.666170881694
2011-09-01,532.916648574208
2011-10-01,532.099791504457
2011-11-01,531.797147328533
2011-12-01,531.762752072015
2012-01-01,531.766936173434
2012-02-01,531.89940342369
2012-03-01,532.084809668049
2012-04-01,532.090112016342
2012-05-01,531.569468231378
2012-06-01,531.365277843995
2012-07-01,530.925896022387
2012-08-01,530.55389363542
2012-09-01,529.955510907948
2012-10-01,528.856181957817
2012-11-01,528.495406324435
2012-12-01,528.19981849356
2013-01-01,527.334075120624
2013-02-01,526.060881769843
2013-03-01,525.221269863294
2013-04-01,519.472770950914
2013-05-01,515.195922000352
2013-06-01,512.971379122841
2013-07-01,508.32083663477
2013-08-01,506.046372560038
2013-09-01,502.025890112823
2013-10-01,498.846867380904
2013-11-01,495.095210122568
2013-12-01,490.055939015339
2014-01-01,485.555541615375
2014-02-01,484.300864575729
2014-03-01,482.644622087101
2014-04-01,480.720525110979
2014-05-01,478.879648137865
2014-06-01,475.442323326993
2014-07-01,472.25560426503
2014-08-01,470.801569385945
2014-09-01,469.999617935316
2014-10-01,469.216638697534
2014-11-01,469.208795930948
2014-12-01,469.309931674752
